"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","268846","Anita  Jawary and Christiana  Birchak and Susan Strack Vargo","","","","International Initiative","85--87","","3","","10.1145/268809.268846","SIGCSE Bull.","Sept. 1997","29","3","","June","1997","0097-8418","","","","","","ACM","New York, NY, USA"
"article","268846","Anita  Jawary and Christiana  Birchak and Susan Strack Vargo","","","","International Initiative","85--87","","3","","10.1145/268819.268846","","","","","","","1997","","Proceedings of the 2Nd Conference on Integrating Technology into Computer Science Education","ITiCSE '97","","0-89791-923-8","Uppsala, Sweden","ACM","New York, NY, USA"
"article","3025952","Viirj  Kan and Emma  Vargo and Noa  Machover and Hiroshi  Ishii and Serena  Pan and Weixuan  Chen and Yasuaki  Kakehi","","","","Organic Primitives: Synthesis and Design of pH-Reactive Materials Using Molecular I/O for Sensing, Actuation, and Interaction","989--1000","","12","chemical sensing, color, odor, shape change, droplets, edible materials, microfluidics, molecular design interactions, multi-modal output, ph-reactive, programmable food","10.1145/3025453.3025952","","","","","","","2017","","Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems","CHI '17","","978-1-4503-4655-9","Denver, Colorado, USA","ACM","New York, NY, USA"
